Provider,PotentialFraud,ip_total_reimb,ip_total_deduct,ip_num_claims,ip_avg_duration,ip_max_duration,op_total_reimb,op_total_deduct,op_num_claims,op_avg_duration,op_max_duration,bene_count,avg_num_chronic,total_reimb,total_deduct,total_claims,reimb_per_claim,deduct_per_claim,ip_to_op_claim_ratio,bene_per_claim,Fraud
PRV51001,No,97000.0,5340.0,5.0,5.0,14.0,7640.0,0.0,20.0,0.55,9.0,24,16.458333333333332,104640.0,5340.0,25.0,4024.6153846153848,205.3846153846154,0.23809523809523808,0.9230769230769231,0
PRV51003,Yes,573000.0,66216.0,62.0,5.161290322580645,27.0,32670.0,70.0,70.0,2.357142857142857,20.0,117,17.632478632478634,605670.0,66286.0,132.0,4553.909774436091,498.390977443609,0.8732394366197183,0.8796992481203008,1
PRV51004,No,0.0,0.0,0.0,0.0,0.0,52170.0,310.0,149.0,1.429530201342282,20.0,138,17.681159420289855,52170.0,310.0,149.0,347.8,2.066666666666667,0.0,0.92,0
PRV51005,Yes,0.0,0.0,0.0,0.0,0.0,280910.0,3700.0,1165.0,1.088412017167382,20.0,495,18.115151515151513,280910.0,3700.0,1165.0,240.91766723842196,3.1732418524871355,0.0,0.42452830188679247,1
PRV51007,No,19000.0,3204.0,3.0,5.333333333333333,7.0,14710.0,60.0,69.0,0.7681159420289855,20.0,58,18.120689655172413,33710.0,3264.0,72.0,461.7808219178082,44.71232876712329,0.04285714285714286,0.7945205479452054,0
PRV51008,No,25000.0,2136.0,2.0,4.0,5.0,10630.0,180.0,41.0,1.4146341463414633,20.0,36,17.916666666666668,35630.0,2316.0,43.0,809.7727272727273,52.63636363636363,0.047619047619047616,0.8181818181818182,0
PRV51011,No,5000.0,1068.0,1.0,5.0,5.0,11630.0,300.0,57.0,0.47368421052631576,17.0,53,17.471698113207548,16630.0,1368.0,58.0,281.864406779661,23.1864406779661,0.017241379310344827,0.8983050847457628,0
PRV51012,No,0.0,0.0,0.0,0.0,0.0,16890.0,100.0,48.0,3.7083333333333335,20.0,31,17.612903225806452,16890.0,100.0,48.0,344.6938775510204,2.0408163265306123,0.0,0.6326530612244898,0
PRV51013,No,0.0,0.0,0.0,0.0,0.0,14880.0,230.0,46.0,1.4565217391304348,20.0,44,17.613636363636363,14880.0,230.0,46.0,316.59574468085106,4.8936170212765955,0.0,0.9361702127659575,0
PRV51014,No,0.0,0.0,0.0,0.0,0.0,10480.0,120.0,30.0,0.4666666666666667,9.0,25,18.0,10480.0,120.0,30.0,338.06451612903226,3.870967741935484,0.0,0.8064516129032258,0
